角色,根角色描述,PT-派生角色,PT- 派生描述
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C043_01,大庆油田_通勤服务公司培训分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C045_01,大庆油田_通勤服务公司生产保障公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C035_01,大庆油田_通勤服务公司西区分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C041_01,大庆油田_通勤服务公司修理分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C039_01,大庆油田_通勤服务公司中区分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C042_01,大庆油田_通勤服务公司资产租赁公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C046_01,大庆油田_通勤服务公司综合服务公司-通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C00K_01,大庆油田_大庆油田物资公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09J_01,大庆油田_大庆油田物资公司采油设备分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09F_01,大庆油田_大庆油田物资公司工矿配件分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09D_01,大庆油田_大庆油田物资公司化工材料分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09B_01,大庆油田_大庆油田物资公司机电设备分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09H_01,大庆油田_大庆油田物资公司机械设备分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09C_01,大庆油田_大庆油田物资公司建筑材料分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09A_01,大庆油田_大庆油田物资公司金属材料分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09G_01,大庆油田_大庆油田物资公司燃料劳保分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09K_01,大庆油田_大庆油田物资公司仪器仪表分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C09L_01,大庆油田_大庆油田物资公司再生租赁分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C026_01,大庆油田_大庆石油管理局有限公司油田道路管理公司通用工厂_货物移动_操作
